currency,rate
THB,37.39
BIF,2242.92
NGN,439.53
LKR,214.8
CHF,1.19
XAG,0.07
AFN,95.13
HRK,8.02
NPR,134.55
PKR,193.33
SYP,626.68
GHS,6.6
MUR,43.77
XOF,717.99
TZS,2795.5
CNY,8.36
MKD,67.34
QAR,4.43
RUB,79.37
SAR,4.55
ETB,35.34
KRW,1472.02
FKP,1.0
JEP,1.0
SGD,1.67
EGP,20.1
OMR,0.47
STD,26212.61
FJD,2.65
IMP,1.0
VUV,141.29
KHR,4975.47
BAM,2.12
BOB,8.39
YER,303.51
LTL,3.59
LRD,246.66
AMD,578.65
CAD,1.6
BYN,2.48
IDR,17330.57
MNT,3228.83
DKK,8.17
TJS,11.43
ZMW,15.79
CVE,120.29
SDG,54.9
USD,1.22
ANG,2.17
BZD,2.45
GBP,1.0
HNL,29.95
XCD,3.28
UYU,41.74
ERN,18.25
GTQ,9.32
LBP,1834.42
TTD,8.21
DZD,145.95
MRO,433.46
HTG,115.16
LSL,17.23
RON,5.14
SRD,9.06
XAU,0.0
BDT,102.73
AWG,2.19
TOP,2.8
MZN,74.48
KZT,470.0
PHP,63.43
KES,125.3
DOP,62.26
SCR,16.62
INR,84.03
TRY,6.76
BTC,0.0
NZD,1.86
NAD,17.96
BTN,83.79
TND,3.48
KPW,1093.74
MXN,23.47
KGS,84.85
CUP,32.25
ARS,55.09
WST,3.23
RWF,1109.31
CZK,27.96
ZAR,18.19
AOA,431.7
CDF,2025.45
PGK,4.12
MGA,4437.5
PAB,1.21
SBD,9.96
GIP,1.0
MDL,21.71
KYD,1.01
SOS,705.14
GMD,60.9
BHD,0.46
DJF,215.46
LAK,10553.56
MMK,1838.38
UGX,4488.28
SVC,10.61
JPY,129.6
PLN,4.71
ISK,148.81
SLL,11216.69
TMT,4.27
XPF,130.09
GNF,11219.08
BRL,4.73
CRC,694.37
COP,4201.04
MAD,11.6
TWD,38.54
HUF,358.29
BGN,2.11
BYR,23831.67
BND,1.64
MWK,893.69
KMF,538.66
PYG,7339.57
AED,4.47
IRR,51189.31
ILS,4.24
JOD,0.86
VND,28219.25
ALL,133.02
CLP,856.52
MOP,9.81
GEL,3.53
MYR,5.05
XDR,0.88
GYD,253.65
RSD,128.78
BMD,1.21
CUC,1.21
HKD,9.54
JMD,163.87
SHP,1.6
NOK,10.84
IQD,1446.92
PEN,4.1
BBD,2.45
AZN,2.07
LVL,0.74
SZL,17.23
BWP,13.24
NIO,40.62
BSD,1.22
UAH,30.88
ZWL,391.47
LYD,1.71
AUD,1.8
CLF,0.03
VEF,12.14
UZS,10538.83
MVR,18.67
XAF,720.92
KWD,0.37
SEK,11.7
GGP,1.0
EUR,1.09
ZMK,10943.24
